"","X2.5.","X25.","X50.","X75.","X97.5.","Mean","SD","firstquarter"
"mu[135]",0.117583766081792,0.691072836525207,1.40390624717072,2.6516507241799,8.14148254134178,2.06349627458129,2.1490501634743,8
"mu[136]",0.12129662550088,0.733255491456256,1.56981420857776,2.95538413820536,8.7155630289154,2.25832059754286,2.35649914757908,8
"mu[137]",0.110934415124212,0.668826303005837,1.41316028378543,2.73341527143074,7.62309197213431,2.05876332919505,2.11452285878931,8
"mu[138]",0.132374684588608,0.713837821449205,1.49680387406866,2.80017238761067,8.54520974848354,2.18500181719938,2.22711874754412,8
"mu[139]",0.089161631718444,0.541223619153824,1.12914504147306,2.18936288016305,5.69090966770642,1.61294447251147,1.65460331838664,8
"mu[140]",0.249654950357967,1.24127971368242,2.23784148382042,3.84823670980442,9.74483153399574,2.9548808035603,2.59500326409497,8
"mu[141]",0.112110589926164,0.621798961994628,1.31506044256878,2.59397466948115,7.93592408478891,1.99666532844503,2.17684658107276,8
"mu[142]",0.115047624350771,0.759436139333758,1.66362021458826,3.17064166402364,10.4003520196087,2.51676323930539,3.02708053198974,8
"mu[143]",0.222478302351763,1.44569998596184,3.23875735705847,6.82001691315,28.7989046991954,5.85430482830303,8.39863834139125,8
"mu[144]",0.26107245478095,1.77924316686136,4.05012642087195,9.05632824588641,36.845164529512,7.65184832465386,10.7231731412328,8
"mu[145]",0.22377552790702,1.66459563204573,3.80918424352433,8.46437380460519,33.7109158692734,7.17027512888168,9.98817297947618,8
"mu[146]",0.357280923877453,2.10757159482327,4.24195623555374,7.75023909350427,23.829771805818,6.22277361557866,7.0417479542491,8
"mu[147]",0.155443418812058,1.12218370497364,2.27077557582632,4.10911803861935,12.7653023583403,3.29889523102726,3.71948558700103,8
"mu[148]",0.196594552611505,1.21224730288947,2.6213770058775,5.05684856826977,18.0523289490506,4.22923936858213,5.73072216666771,8
"mu[149]",0.21447176534359,1.66285769157676,3.33811212763721,6.1180712708793,16.7119386964323,4.69525100830172,4.88826154776408,8
"mu[150]",0.164058822437219,1.06888023156274,2.26824883974259,4.44319282260257,14.2569519947189,3.50021645953213,4.12400491153812,8
"mu[151]",0.216779234871217,1.10670008423848,2.33361827667254,4.38795048766342,14.1663050278448,3.55853899211286,4.17549489829063,8
"mu[152]",0.161698936431264,1.10248530695731,2.2656796637645,4.36271721717941,14.2068202487922,3.47568428697575,3.99355647078061,8
"mu[153]",0.200361252590286,1.27847731794542,2.51301238837159,4.58437777452664,13.0753768273126,3.56279585080405,3.66256212163335,8
"mu[154]",0.206521493766472,1.4394699447183,2.76359787159483,4.91347252461651,13.1195697018372,3.72526460760354,3.42613165661014,8
"mu[155]",0.14942558691806,0.942861006931172,1.93058471392428,3.58638642130467,10.2864104120533,2.74495919566487,2.76650245084879,8
"mu[156]",0.12433202704206,0.815528840988226,1.71179229709496,3.13691391666724,9.01082768408752,2.3911527126845,2.41162081814165,8
"mu[157]",0.123990492129964,0.966949264833867,2.02030416503626,3.9386214134545,13.3851303591253,3.19768947709691,3.87454876003518,8
"mu[158]",0.164447985275566,0.939339655536422,1.97936194873097,3.77695751563228,12.5728764362298,3.08037384304067,3.66855025341845,8
"mu[159]",0.129662336059652,0.935631299564602,2.03430270381448,3.94292848327296,13.009501619995,3.14567230069845,3.8262401059606,8
"mu[160]",0.131974997429567,0.841380691978517,1.69849614278717,3.13224013968819,8.83359641700019,2.41058139830664,2.58765887883993,8
"mu[161]",0.158919364549731,1.03472513681096,2.21812486360029,4.28404945429349,14.0796651359696,3.49266735990004,4.46490893599936,8
"mu[162]",0.451408819292433,2.36954620238187,4.40877247996264,7.73837608420875,19.8898815226163,5.89886722111002,5.466127526596,8
"mu[163]",0.125940426444326,0.874930470902684,1.839612881092,3.59652732438163,11.1667967253522,2.79246683332642,3.09996622367294,8
"mu[164]",0.139654958413933,1.04901030691678,2.22212837793481,4.40585406832168,14.0379817963227,3.47861582342324,3.93380810351272,8
"mu[165]",0.22976672184068,1.64022018538411,3.48106934890101,6.79839174421779,21.1486722858392,5.3474653782995,5.98418565889945,8
"mu[166]",0.253011210780335,1.59880198906336,3.44291822618627,7.23839312025757,22.1917111664425,5.54576932205074,6.21040530857526,8
"mu[167]",0.149108257710807,0.997370181273794,2.02962922534029,3.82596384769453,11.6817902065068,3.0016179234503,3.28301661267754,8
"mu[168]",0.141494748003186,0.826338271826403,1.66454476465258,2.92182756317438,7.97378419311042,2.25921670905672,2.19700823534067,8
"mu[169]",0.119750878160307,0.957126312590089,1.99692724312744,3.9613730217116,13.8114997545065,3.33145571671754,5.25870926718939,8
"mu[170]",0.272458969764388,2.12759531403655,4.85969175648118,10.8458347757773,67.6542350912286,11.9856101506537,32.3383012550889,8
"mu[171]",0.243349780608512,1.86856155438916,4.6824141903207,10.7826079974477,73.0702249898922,11.2408444047584,22.0761347291263,8
"mu[172]",0.211395082899195,1.60948145335038,4.1158505893614,12.1237265437364,88.56235772221,12.8973261382786,24.7661814522747,8
"mu[173]",0.211153705002438,1.76490005348972,4.24888270286092,10.7922815716456,94.0936551104122,13.3842908592916,28.2206374911064,8
"mu[174]",0.214822250893121,1.63152900399018,4.16600960976298,11.2878037093983,89.8785979336908,12.7468452158214,26.2143387153404,8
"mu[175]",0.191238117724715,1.13331073026655,2.44066410609693,4.8164727998079,17.2497693578485,3.94972776775105,5.1080094531747,8
"mu[176]",0.308289471584374,2.88645403928165,6.98440851652728,13.8413943669238,43.3827523253689,10.5957782177503,12.0369409063894,8
"mu[177]",0.218898642431267,1.57865487688829,3.50969632368241,7.14862081285495,24.6873539202975,5.75254529280871,7.26017127120219,8
"mu[178]",0.17742786457429,1.11632034075504,2.43827000449359,5.07873778497727,20.2246033819667,4.33438701200892,6.6340023089534,8
"mu[179]",0.177508431716727,1.18362635181452,2.47889050918715,4.91058579729913,19.3111990507265,4.17716751702729,5.59095215739783,8
"mu[180]",0.163749551563494,1.12036475882712,2.46857385783787,5.11644420222034,19.9855598938911,4.32676589555605,6.07622266963999,8
"mu[181]",0.267960809979357,1.80088699051642,3.82434729285437,7.24518365297724,23.7110323643728,5.80876770335348,7.35962466246744,8
"mu[182]",0.275283173574567,2.16237472686448,4.49301643317512,8.38197614490878,23.9674480840704,6.41941408986509,6.54054538182759,8
"mu[183]",0.224735954122308,1.35733684581423,2.91044423084339,5.53920439293837,16.0234958416701,4.24475384154128,4.49352400122697,8
"mu[184]",0.17563505529991,1.24114854062011,2.59527812020257,4.931589139355,15.4498597635873,3.87948439559763,4.55188857936534,8
"mu[185]",0.232238053572776,1.57119459706195,3.52830129461519,7.75155231746058,32.2600214355274,6.5389283282292,9.14225863293758,8
"mu[186]",0.259257702295298,1.79978461986493,4.06633708000281,8.64299302977576,34.6716237136137,7.26460464350964,9.87552081087773,8
"mu[187]",0.290636341248899,1.91290942328618,4.26780230611621,8.99700101758846,35.1968610922561,7.4918349572192,10.0754672645436,8
