"","X2.5.","X25.","X50.","X75.","X97.5.","Mean","SD","simulation"
"mu[26]",4.06678524786078,6.17762712768,7.84645301792869,9.93089372031798,15.9450307435334,8.39053043445704,3.10793763301587,10
"mu[27]",0.408357025924744,1.10681558999061,1.66024300324234,2.50572724693729,5.57605366322868,1.98899769521308,1.38097972499612,10
"mu[28]",0.143401533187917,0.492221790012929,0.872139118279158,1.50825924709853,3.80646731902106,1.15333670573182,0.985671216908983,10
"mu[29]",1.15964412073444,2.90210468248666,4.6077131211819,7.34060785911798,17.8717438348775,5.87907441813866,4.66822414925514,10
"mu[30]",0.467069769094094,0.984195629239082,1.38604035620402,1.90936800999101,3.67469073937701,1.5520507432331,0.828805890782877,10
"mu[31]",1.29952607157941,3.49556104459962,4.88025967166542,6.76254918052936,12.4546856451042,5.41010450600549,2.80851245387633,10
"mu[32]",0.195618001990396,0.592023770063153,0.934242097810503,1.40852364454074,3.05134509633149,1.10306967852969,0.751739681332084,10
"mu[33]",3.73625763303518,9.56982568343351,14.2874934186042,20.5107365162616,34.5673487460341,15.5659746502129,8.0620708656832,10
"mu[34]",0.274274072588122,0.789319669848979,1.2749761735637,2.02626515872055,4.51982580527333,1.56593897464853,1.13882587392645,10
"mu[35]",0.744269772321769,2.56026371309994,4.07673540044945,6.35308582444166,14.6362256695358,4.99947370846668,3.69324217596489,10
"mu[36]",1.67787021642322,2.92601293172045,3.93126406201583,5.37115039638322,9.81903661842337,4.39574133704699,2.10242282952282,10
"mu[37]",0.167032424552451,0.583509685095951,1.04892650366496,1.8494059371582,5.47666883474262,1.48644464359135,1.4637007732368,10
"mu[38]",0.203393143878089,0.650599512696364,1.05398833524316,1.67390941232688,3.86681640537352,1.3119244355836,1.05170908727415,10
"mu[39]",0.399258597604434,1.24005107598214,1.95694704679794,2.96501210740929,6.28053672839112,2.31634439932619,1.58831432164242,10
"mu[40]",3.16540628024376,5.45415596771752,7.41500309952267,9.96934249466242,17.6066588223409,8.17003750188954,3.88874952108729,10
"mu[41]",3.49039719351031,7.93013503117058,12.1774612278425,17.4569567024986,31.9666277410507,13.5739602617992,7.40011599561919,10
"mu[42]",0.250828080362659,0.918659946688491,1.51916377121286,2.37215730734682,5.39731597544119,1.85514554836777,1.41204019887404,10
"mu[43]",1.45590349145661,3.71429244376187,5.06900263006668,6.71933324572369,11.6207633348225,5.43845215458641,2.5254322380615,10
"mu[44]",1.37233253074278,2.48783302928083,3.45587924841994,4.91912815798023,9.19139558495625,3.95137743144859,2.07799941019624,10
"mu[45]",0.750043225557954,1.69302636622572,2.4496853361516,3.44938351235199,6.91543622459253,2.78884937996695,1.58479103251822,10
"mu[46]",1.24936359751354,2.63493314174026,3.84728472177621,5.68930047266013,11.2422376434108,4.51065761594845,2.69683677322084,10
"mu[47]",0.287989076071586,0.826042254054096,1.3156615425331,2.07642780684945,5.09661884431714,1.66157924451105,1.30996743203753,10
"mu[48]",0.386874361133119,1.19479812243653,1.86593585106806,2.78090752201661,5.92798751370038,2.19141341533939,1.46637316820002,10
"mu[49]",1.79029934173409,2.99522827827008,3.90876202899228,5.19801712479175,9.22038971743745,4.32410347755684,1.93201588318623,10
"mu[50]",2.07779301475678,3.45176822957512,4.54681075457081,6.09999145400162,10.9023776017884,5.04148024045181,2.3350835055154,10
"mu[51]",0.476794416574293,1.11869419399593,1.55397471308816,2.14023998826395,3.83865897418717,1.72294834118009,0.888101472230301,10
"mu[52]",1.158583211314,2.44246328185336,3.51114072615192,5.08719987329325,10.0345601948062,4.05811748256728,2.35232639276321,10
"mu[53]",0.349606306848524,0.963607609782263,1.49786411392365,2.30003575247546,5.25802990252708,1.83629885255099,1.33073835088135,10
"mu[54]",0.694300561999529,2.08239355188856,3.033869310234,4.23231483034209,7.4896634560845,3.31418688968201,1.7388847685676,10
"mu[55]",3.18638972311168,5.82994591417865,7.9031575934692,10.6602374010693,18.3377058503128,8.66369352937427,3.92731515762413,10
"mu[56]",8.7435150681424,13.6062032919596,17.3118410983844,21.7646981072853,32.7838691564583,18.1986738158941,6.25166052366655,10
"mu[57]",0.140490473896099,0.489991259864162,0.844221686650552,1.37540585549208,3.45927355662695,1.08405838877891,0.933848929842915,10
"mu[58]",0.917513872634675,2.97325422771396,4.3585942210124,6.0314314588239,10.9821359824565,4.71037239787488,2.54398032688679,10
"mu[59]",1.53016521738422,2.82391830368257,4.03093767447099,5.70000483849702,10.8963858184436,4.57844649010331,2.46787638700668,10
"mu[60]",0.282583543882979,0.891151387640777,1.43002171884982,2.26453129827816,5.06632664590231,1.76670071582141,1.3476231909405,10
"mu[61]",0.625695296130569,1.53467595008509,2.21649877799524,3.14254545176952,5.77536525898854,2.48336323723331,1.36955214956247,10
"mu[62]",0.261540508706677,0.777816665057056,1.23720267422119,1.86253183838835,3.89264443452135,1.44583102738025,0.945704286668846,10
"mu[63]",3.32588948794545,5.45418308441975,7.05310327678506,8.96279061874742,14.6420519083183,7.50916490653408,2.91602300476294,10
"mu[64]",1.50890748246851,2.98486344805017,4.1989352514267,5.86491773353964,11.3081009289119,4.72444788773344,2.49685879270673,10
"mu[65]",0.186970537418176,0.638936694026828,1.07051393596546,1.70316053778412,3.85319019858617,1.30956685768451,0.984611950548452,10
"mu[66]",2.99397287139905,5.08899908997581,6.68312961558495,8.67040608942699,14.3595462276184,7.17608676930833,2.90888760642083,10
"mu[67]",2.92850264082173,4.68369112013869,6.02207301528412,7.85486848305995,12.5373584726934,6.48913700714674,2.51128838373013,10
"mu[68]",1.06173753801765,2.46208152605412,3.41653525275693,4.70187586865994,8.46354910939754,3.76379761343397,1.88431777288295,10
"mu[69]",0.157121879212942,0.483316296652399,0.847034860007686,1.41628027768374,3.50451178193964,1.10689600781237,0.95460449427515,10
"mu[70]",1.83074966023889,3.1665191857331,4.14494037380206,5.58231719807049,9.80092054957409,4.59620431156989,2.04745380887379,10
"mu[71]",0.682185128334335,1.48035460406564,2.15630354928061,3.17081679099174,6.27434635529198,2.51317693346255,1.49140939904994,10
"mu[72]",1.38731502897107,2.5155579459686,3.33812436357427,4.42523172877225,7.66270899115351,3.63815023522235,1.62359668108216,10
"mu[73]",0.607833355858611,1.36975422790879,2.04726056417799,3.01054652806282,6.10664825335301,2.38246086154559,1.44856611005238,10
"mu[74]",0.685958123932741,1.43864637416572,1.98780081662082,2.78237710782914,5.21647241173244,2.24137961809608,1.18837373389959,10
"mu[75]",0.398149827125473,1.13115168329126,1.7790127459818,2.81253056275614,5.81289380791035,2.15888168312697,1.46193072593327,10
"mu[76]",0.449987588389294,1.06287052674443,1.54749780925591,2.25381600991946,4.60920309021101,1.79816944148697,1.09094971045079,10
"mu[77]",2.69579343429935,4.09756625991263,5.12422059645337,6.43685843618052,9.82294456509016,5.43270093526273,1.8673744137683,10
"mu[78]",0.167682307096365,0.492525449690959,0.792406083944235,1.24576747139702,2.91170843472694,0.978884735818835,0.726025679200789,10
"mu[79]",0.231059717990184,0.695659990543359,1.10393656814552,1.70093928495364,3.59498588275905,1.31523942816192,0.905685734510946,10
"mu[80]",2.28365646364584,5.34821709859401,7.96670860157767,11.6376200464132,20.678820677917,8.93983563325331,4.88851333655037,10
"mu[81]",0.868455960869881,1.74221603027416,2.37413603078312,3.23184939214009,5.70479242270761,2.6037536589468,1.2410610811826,10
"mu[82]",2.59820654399288,4.79426070562689,6.20355089913498,7.77223770166609,12.3065263425545,6.48721397245736,2.42906682765794,10
"mu[83]",2.1428777103576,4.36545063459646,6.37149389930492,9.20597407217856,17.2136838086274,7.22958753790776,4.0061411179713,10
"mu[84]",0.179607448867677,0.52710528180571,0.876815582925726,1.39463760144227,3.38102672112849,1.09291562556582,0.845520533561245,10
"mu[85]",0.226132465223508,0.705391965709936,1.11404017975682,1.70228650874153,3.41938907012333,1.30750332088998,0.870593590189972,10
"mu[86]",2.69686300012799,4.14459248569672,5.30860939372647,6.73729594540712,10.9786679394154,5.67916881647112,2.15337580568477,10
"mu[87]",1.52015582176885,2.67037937552107,3.5985386283416,4.7576013328276,8.25450314308141,3.90911187446819,1.7490033409746,10
"mu[88]",0.427651529557474,1.14925220186871,1.74379386376487,2.60397589082035,5.16713607253034,2.02693579817584,1.28068029452363,10
"mu[89]",0.352385699048836,0.904345420352114,1.30979922749952,1.81959945102343,3.39354001409959,1.44493744281576,0.789657996392024,10
"mu[90]",0.248926375801373,1.16962876783955,2.25430531801032,4.0904147293415,10.5565924931132,3.08344000550295,2.82690933890586,10
"mu[91]",0.575411929263514,1.2811591745383,1.78937895211583,2.46280738074561,4.19709202736619,1.95616447951173,0.969196067583629,10
"mu[92]",1.06375548319517,2.42269407346224,3.57245128485907,5.24758175682071,10.4138073135424,4.12957146942934,2.41603103445621,10
"mu[93]",2.46174619746278,4.29011405229558,5.72489652727674,7.74991020094285,13.8723448233193,6.35960064698089,2.93907021531461,10
"mu[94]",1.27935829997561,2.29706554400497,2.99136457536988,3.83126742046235,6.04542097146744,3.16384175288303,1.23342649319225,10
"mu[95]",0.426986861556635,1.47419678899609,2.53319470984127,4.22689117789076,9.41338013668255,3.17683887018881,2.36221421056743,10
"mu[96]",0.173030053525891,0.496602317601899,0.827088815540001,1.32354128822336,3.21348241819961,1.03677757531895,0.813658981889933,10
"mu[97]",0.225781068380444,0.568629698425737,0.831290155908909,1.17634596488624,2.18936972664464,0.925931673992353,0.512128195324514,10
"mu[98]",0.223411081059809,0.49052334018855,0.697007188630877,0.979944711068929,1.87529686845729,0.789309964391182,0.437916176581388,10
"mu[99]",0.277882024183096,0.867879618950231,1.49719743584331,2.46214804390857,6.1153612146304,1.9218611904704,1.56296529503754,10
"mu[100]",0.215228256655407,0.516458628034356,0.747081865424728,1.07267195350662,1.98904554339423,0.840221642771948,0.46228435506748,10
"mu[101]",0.512628760068485,1.01191384052646,1.41385370616861,1.94523769769199,3.4838193715772,1.56077255230273,0.77036363054658,10
"mu[102]",0.57252284145331,1.13977886435417,1.64647521405046,2.35699528649051,4.64715526908952,1.90081692443658,1.0886938701801,10
"mu[103]",0.192998699456166,0.527962402179248,0.835516506421824,1.25581208114002,2.57959608638687,0.974891375620084,0.640573737256136,10
"mu[104]",0.445609970185004,0.984974607827527,1.41913294268731,2.00220630301255,3.88081126835396,1.60577516135813,0.88821105470797,10
"mu[105]",0.842004110119342,1.56860949735754,2.22976586348133,3.11890669605654,5.98913291148266,2.51913108406334,1.33364962289514,10
"mu[106]",0.974477058859249,1.85519478634892,2.50165755941453,3.33650288313724,5.72744164877339,2.72474693172058,1.21587905697721,10
"mu[107]",0.56705391342232,1.46693775327491,2.33848955788733,3.87120294198159,9.36470991073159,3.02036794831075,2.31071824164587,10
"mu[108]",1.14435181728942,2.18180953893108,3.02195559025225,4.19590808944421,7.49394324971395,3.37205771554124,1.67143386687563,10
"mu[109]",0.112392103555419,0.319567478932329,0.515085474062395,0.837027799546575,1.91018083011784,0.643143408889978,0.474668709596892,10
"mu[110]",0.512340597941965,1.24897581630427,2.00675268725467,3.16380295458553,7.31238589464641,2.484683543591,1.84572163288579,10
"mu[111]",0.157547896975794,0.498496583326115,0.811715457863667,1.22799115318064,2.73164157844536,0.961855100424396,0.683227275998769,10
"mu[112]",0.153018353863682,0.476542743853602,0.772200991667226,1.20950545743072,2.65509093109204,0.929369225433794,0.651801176664222,10
"mu[113]",7.3273920733935,11.632499726321,14.7409517294908,18.8357280641,28.4754237759636,15.6254311641718,5.47360730039421,10
"mu[114]",2.62350749473539,4.35169175558326,5.56782227582317,7.11357869251319,11.1346514693533,5.92899639885846,2.22058388846671,10
"mu[115]",2.0914249331635,4.36657067646704,5.68587838956284,7.25043006056727,10.9934292905486,5.92888111208311,2.24662350313359,10
"mu[116]",0.384741760459839,1.1866392864661,2.03102979218448,3.46264773768922,9.41468374704642,2.74704950294801,2.42231588310604,10
"mu[117]",1.5562940316121,3.31696917482955,4.78949403366637,6.67593963563625,12.0859112821624,5.29877922908526,2.78079205796717,10
"mu[118]",0.106230657548703,0.310585749104982,0.505220300482766,0.773584731183966,1.61362304025956,0.599348407267666,0.41455799292242,10
"mu[119]",0.219456488411712,0.685723202785622,1.24324737112871,2.11711437615498,5.80417763386095,1.66495242041665,1.47926991576458,10
"mu[120]",1.6828566210135,3.18188760227452,4.31131298180714,5.88166097848243,10.1431771265423,4.75184396686684,2.2369971208729,10
"mu[121]",1.31589860178435,2.40915339938597,3.2029513624889,4.21109559079364,6.84771323822645,3.44406945210876,1.45337361426851,10
"mu[122]",2.06521418310372,3.77386227027674,4.97130670987131,6.5935736119608,11.1893936970801,5.41713790472059,2.36763885763664,10
"mu[123]",0.260326745383594,0.779193852758143,1.22057442721747,1.89173547274205,4.23628899155076,1.48442189733551,1.09014348680857,10
"mu[124]",0.151293451880007,0.471277601088938,0.769316122455094,1.22324361224507,2.67491097115923,0.940122116027113,0.680985385388312,10
"mu[125]",1.79503955928246,3.09449163995658,4.10375842728384,5.4717273921247,9.91006938236642,4.54097486763024,2.07817267051911,10
"mu[126]",0.220414158357265,0.635162289439823,0.974968033090188,1.46866899196857,3.11435171457145,1.15090509692069,0.754559990984171,10
"mu[127]",1.98770761043291,3.6936428327552,4.87382150386586,6.41394888285811,10.9788981260791,5.28862659251953,2.29207184416359,10
"mu[128]",0.598546311932406,1.45779846191335,2.22068921373281,3.30727225277438,7.19574393397044,2.63565117518013,1.69751068329844,10
"mu[129]",0.167202524944817,0.568806318351048,1.02000290102262,1.8728664816149,5.61417177531413,1.50274881878003,1.45400707130139,10
"mu[130]",0.117160165844936,0.34004569300365,0.534468513867184,0.830807034952444,1.8200863278485,0.645195492482142,0.45570047241099,10
"mu[131]",1.25151669475967,2.3590870935537,3.3449092998261,4.76724482545795,8.79795591595892,3.77993738808667,1.97698661978117,10
"mu[132]",0.188390293266026,0.602718037122485,1.08043305262087,1.87143970662883,5.19505448314116,1.48239566600456,1.38677216453193,10
"mu[133]",0.519560274492658,1.30568247946793,1.87156216973879,2.64449428172989,4.92162469648021,2.09274236570478,1.14372739605139,10
"mu[134]",0.295334885507304,0.732562820751171,1.12228100964528,1.67868850311433,3.57637392083298,1.33103656683643,0.901200384364893,10
"mu[135]",1.51156741676885,2.83156903525378,3.77699127750871,5.11178986249129,8.94153105138347,4.17637871590906,1.94277628900647,10
